,id,units,ln_itm_qty,ln_itm_val,pk_price,unit_price,line_itm_ins,ln_itm_weight,ln_itm_freight_cost
59,543,100,28,9800.0,350.0,3.5,15.68,68.68658501020707,2812.899280707492
60,551,100,84,11676.0,139.0,1.39,22.88,86.93862906311544,8751.81567992703
61,598,60,30,1049.4,34.98,0.58,1.68,6.648808258014762,123.44117522629216
62,610,60,38640,92736.0,2.4,0.04,148.38,2319.713493397779,1036284.9480055453
63,630,540,34,1547.68,45.52,0.08,2.48,344.2093333333333,2783.922654
64,637,60,42000,60900.0,1.45,0.02,97.44,3492.6012324840453,81532.15896792093
65,646,240,50,696.5,13.93,0.06,1.11,8.092726157845918,73.14948381511884
66,660,30,16800,171192.0,10.19,0.34,335.54,1365.671298565747,42696.60164833947
67,668,25,98,3675.0,37.5,1.5,5.88,33.762583095916426,271.682094017094
68,670,100,4500,323955.0,71.99,0.72,634.95,32073.16033225275,44295.148349643474
69,712,20,10,320.0,32.0,1.6,0.51,3.641870896766972,205.6275473203236
70,717,40,500,38000.0,76.0,1.9,60.8,549.1475804173573,9543.093869393133
71,719,12,25000,9750.0,0.39,0.03,19.11,634.0,8530.29
72,772,30,9,453.6,50.4,1.68,0.89,0.8707320380400154,17.78648944301326
73,791,100,150,10798.5,71.99,0.72,21.17,1069.105344408425,1476.5049449881158
74,796,2,15,450.0,30.0,15.0,0.88,2.0,605.2925
75,797,25,319,6380.0,20.0,0.8,12.5,291.97385026184935,3183.469034227027
76,835,30,80,1830.4,22.88,0.76,3.59,5.309261453126957,213.70150874207997
77,836,30,120,2745.6,22.88,0.76,5.38,7.9638921796904345,320.5522631131199
78,837,200,600,858.0,1.43,0.01,1.68,52.329167790573884,2494.9230982888494
79,838,60,7,91.35,13.05,0.22,0.18,1.4476331360946746,60.49103846153846
80,839,300,40,1375.6,34.39,0.11,2.7,53.22231304659618,846.0646678908322
81,849,25,108,4050.0,37.5,1.5,7.94,37.207744636316065,299.4047566718995
82,858,30,50000,2520000.0,50.4,1.68,4939.2,4837.400211333419,98813.83023896255
83,914,100,140,2731.4,19.51,0.2,5.35,5209.0,25405.22
84,937,20,5700,182400.0,32.0,1.6,357.5,2075.8664111571743,117207.70197258446
85,960,60,5964,51350.04,8.61,0.14,100.65,540.6467121581368,4882.266412181372
86,961,60,21000,50400.0,2.4,0.04,98.78,1260.7138551074886,563198.3413073615
87,962,60,10560,72864.0,6.9,0.12,142.81,990.4807327034937,7531.72770504003
88,979,60,2352,20250.72,8.61,0.14,39.69,213.2127878933497,1925.4008386067383
89,985,300,524,21536.4,41.1,0.14,42.21,697.2123009104099,11083.4471493699
90,986,60,2094,21526.32,10.28,0.17,42.19,336.96728010859385,11608.120352543168
91,993,30,8249,185602.5,22.5,0.75,363.78,2781.6479995289924,64039.27310575584
92,1037,30,200,4734.0,23.67,0.79,9.28,9.316365036580672,551.9201001155179
93,1046,60,80,760.0,9.5,0.16,1.49,18.078414770231802,83.12593038458822
94,1047,200,32,402.88,12.59,0.06,0.79,7.216081938393335,283.68655507146684
95,1048,60,46,472.88,10.28,0.17,0.93,7.402337576406551,255.00168873781556
96,1063,30,3025,47522.75,15.71,0.52,93.14,245.90212370008243,7687.929761084934
97,1065,30,3500,49840.0,14.24,0.47,97.69,284.51485386786396,8895.125343404057
98,1066,240,1008,3588.48,3.56,0.01,7.03,378.84620400200004,2755.8429478180924
99,1067,200,960,1152.0,1.2,0.01,2.26,83.72666846491822,3991.876957262159
100,1068,240,1800,10512.0,5.84,0.02,20.6,235.52657110754058,80453.26150394727
101,1070,60,1200,3384.0,2.82,0.05,6.63,99.7886066424013,2329.490256226313
102,1077,240,346,1954.9,5.65,0.02,3.83,127.60061836992384,608.7871377479993
103,1078,30,5300,16642.0,3.14,0.1,32.62,313.4789646169621,8394.388613528656
104,1079,240,342,1932.3,5.65,0.02,3.79,126.12546671246807,601.7491361555369
105,1080,60,2700,10665.0,3.95,0.07,20.9,235.48125505758247,11227.153942299821
106,1084,120,3735,134385.3,35.98,0.3,263.4,3431.8556954219525,22460.023538700774
107,1085,60,6000,80640.0,13.44,0.22,158.05,876.3666355664715,45023.22233204148
108,1086,60,11672,35016.0,3.0,0.05,68.63,970.6105139417566,22658.175225561266
109,1095,100,20,7000.0,350.0,3.5,13.72,49.06184643586219,2009.2137719339228
110,1109,120,10240,420864.0,41.1,0.34,824.89,9408.88951034024,61577.146194456735
111,1110,336,400,15344.0,38.36,0.11,30.07,1011.7220860278748,39387.92399524728
112,1111,300,30,1080.0,36.0,0.12,2.12,39.91673478494713,634.5485009181241
113,1114,30,80,2816.0,35.2,1.17,5.52,8.655978943985062,491.6412407983682
114,1115,60,1000,19770.0,19.77,0.33,38.75,56.265903016825945,4081.8790708952283
115,1122,100,60,21000.0,350.0,3.5,41.16,147.1855393075866,6027.6413158017685
116,1134,100,7500,600000.0,80.0,0.8,1176.0,160067.28062404328,1391679.5458393139
117,1140,100,6395,511600.0,80.0,0.8,1002.74,136484.03461210092,1186638.7594189886
118,1156,30,55356,386384.88,6.98,0.23,757.31,4499.886928774136,140685.30243127854
119,1162,40,1000,110000.0,110.0,2.75,215.6,1098.2951608347146,19086.187738786266
120,1179,336,8,613.76,76.72,0.23,1.2,20.234441720557495,787.7584799049456
121,1183,60,3500,39025.0,11.15,0.19,76.49,444.9903099190781,3046.1893090153903
122,1196,100,5,1750.0,350.0,3.5,3.43,12.265461608965548,502.3034429834807
123,1198,25,67,5025.0,75.0,3.0,9.85,43.828908483270645,1095.391313392671
124,1213,60,400,2800.0,7.0,0.12,5.49,87.67252120595039,1562.829680188361
125,1215,20,220,7040.0,32.0,1.6,13.8,80.1211597288734,4523.806041047119
126,1221,84,50,490.0,9.8,0.12,0.96,14.5645895484813,116.7253750068183
127,1222,60,5000,41300.0,8.26,0.14,80.95,300.169965501783,134094.8431684194
128,1223,240,460,2838.2,6.17,0.03,5.56,60.19012372748259,20560.277939897638
129,1245,40,147,11076.45,75.35,1.88,0.0024500000000000012,161.44938864270307,2805.6695976015817
130,1246,100,6,2400.0,400.0,4.0,0.0024500000000000012,14.71855393075866,602.7641315801769
131,1251,60,2800,19600.0,7.0,0.12,0.0024500000000000012,613.7076484416527,10939.807761318527
132,1262,100,15,6000.0,400.0,4.0,0.0024500000000000012,36.79638482689665,1506.9103289504421
133,1279,180,260,11096.8,42.68,0.24,0.0024500000000000012,322.9040404040404,9567.684848484847
134,1281,60,894,2994.9,3.35,0.06,0.0024500000000000012,53.6703898317188,23976.15795851339
135,1282,60,25100,276100.0,11.0,0.18,0.0024500000000000012,2275.357557875458,20547.432418804903
136,1283,60,95500,144205.0,1.51,0.03,0.0024500000000000012,7941.509945291104,185388.5995580107
137,1285,20,900,36000.0,40.0,2.0,0.0024500000000000012,327.7683807090275,18506.479258829124
138,1295,120,80,3288.0,41.1,0.34,0.0024500000000000012,73.50694929953312,481.07145464419324
139,1298,60,70000,525000.0,7.5,0.12,0.0024500000000000012,6565.686675117856,49926.2253175002
140,1299,30,71577,1087970.4,15.2,0.51,0.0024500000000000012,5818.491341514314,181910.39620138062
141,1300,60,5605,202340.5,36.1,0.6,0.0024500000000000012,780.4188120629244,16543.621349877292
142,1303,100,200,16000.0,80.0,0.8,0.0024500000000000012,4268.460816641154,37111.45455571504
143,1306,60,25000,187500.0,7.5,0.12,300.0,2344.8880982563774,17830.794756250074
144,1307,40,375,28500.0,76.0,1.9,0.0024500000000000012,411.860685313018,7157.32040204485
145,1309,100,4650,372000.0,80.0,0.8,0.0024500000000000012,99241.71398690683,862841.3184203746
146,1337,60,1577,14981.5,9.5,0.16,23.97,356.37075115819437,1638.619902706195
147,1347,100,3500,280000.0,80.0,0.8,448.0,74698.0642912202,649450.4547250132
148,1350,60,4270,40565.0,9.5,0.16,64.9,964.9353883611224,4436.846534277396
149,1356,240,1000,1920.0,1.92,0.01,3.07,368.8300707373243,2335.5402068835074
150,1357,240,1000,2100.0,2.1,0.01,3.36,375.8394880972223,2733.9711783909647
151,1358,240,1000,2100.0,2.1,0.01,3.36,375.8394880972223,2733.9711783909647
152,1359,60,3000,40500.0,13.5,0.22,64.8,381.4202656449241,2611.0194077274778
153,1360,30,22500,277425.0,12.33,0.41,443.88,1829.0240605791255,57182.948636168934
154,1361,120,500,41095.0,82.19,0.68,65.75,459.418433122082,3006.6965915262076
155,1383,25,10000,200000.0,20.0,0.8,320.0,9152.785274666123,99795.2675306278
156,1502,30,1609,27353.0,17.0,0.57,43.76,106.78252097601592,4298.0715945750835
157,1512,300,30,1447.8,48.26,0.16,2.32,39.91673478494713,634.5485009181241
158,1513,30,100,2850.0,28.5,0.95,4.56,4.658182518290336,275.96005005775896
159,1519,336,100,18333.0,183.33,0.55,29.33,252.9305215069687,9846.98099881182
160,1527,20,10000,270000.0,27.0,1.35,432.0,3239.6241414602973,53457.44259488817
161,1529,60,1099,30222.5,27.5,0.46,48.36,153.02056636166887,3243.789449333657
162,1530,60,1200,2100.0,1.75,0.03,3.36,98.32733471778175,2888.336060991752
163,1531,100,50,17500.0,350.0,3.5,28.0,122.65461608965549,5023.034429834807
164,1549,100,650,51993.5,79.99,0.8,83.19,4632.789825769842,6398.188094948501
165,1587,60,100,573.0,5.73,0.1,0.92,8.721527965095648,415.82051638147493
166,1593,20,450,14400.0,32.0,1.6,23.04,163.88419035451375,9253.239629414562
167,1594,20,10270,277290.0,27.0,1.35,443.66,3327.093993279725,54900.79354495014
168,1618,20,9000,288000.0,32.0,1.6,460.8,3277.683807090275,185064.79258829122
169,1628,20,6040,193280.0,32.0,1.6,309.25,2199.6900216472513,124199.03858147546
170,1634,100,4300,43.0,0.01,0.0,0.07,293.25033337278575,3232.946984258492
171,1637,20,289,7803.0,27.0,1.35,15.29,93.62513768820259,1544.920090992268
172,1638,100,3000,215970.0,71.99,0.72,345.55,21382.106888168502,29530.098899762317
173,1643,100,70,0.7,0.01,0.0,0.0,4.773842636301163,52.62936951118475
174,1644,100,1116,78120.0,70.0,0.7,124.99,7954.143762398682,10985.196790711581
175,1645,100,1116,78120.0,70.0,0.7,153.12,7954.143762398682,10985.196790711581
176,1646,20,832,26624.0,32.0,1.6,42.6,303.0036586110121,17108.211937050924
177,1647,100,213,15333.87,71.99,0.72,24.53,1518.1295890599636,2096.6370218831244
178,1648,100,10,3500.0,350.0,3.5,5.6,24.530923217931097,1004.6068859669614
179,1660,100,1634,16.34,0.01,0.0,0.03,111.43512668165859,1228.519854018227
180,1673,180,400,15760.0,39.4,0.22,25.22,496.7754467754468,14719.51515151515
181,1674,90,6,47.28,7.88,0.09,0.08,6.0813776904777415,195.61807171006006
182,1675,30,500,10925.0,21.85,0.73,17.48,33.18288408204348,1335.6344296379998
183,1691,60,10080,29232.0,2.9,0.05,46.77,605.1426504515945,270335.2038275335
184,1693,30,6720,77145.6,11.48,0.38,123.43,546.2685194262988,17078.640659335786
185,1719,100,250,2.5,0.01,0.0,0.0,17.04943798678987,187.96203396851698
186,1722,30,300,4614.0,15.38,0.51,7.38,24.38698747438834,762.4393151489191
187,1723,60,300,4155.0,13.85,0.23,6.65,43.81833177832357,2251.1611166020734
188,1724,30,100,1849.0,18.49,0.62,2.96,1669.5873015873015,645.3666666666667
189,1730,100,1130,11.3,0.01,0.0,0.02,77.06345970029021,849.5883935376968
190,1797,60,400,2800.0,7.0,0.12,4.48,87.67252120595039,1562.829680188361
191,1798,60,10780,15631.0,1.45,0.02,25.01,896.4343163375717,20926.58746843304
192,1801,180,670,24783.3,36.99,0.21,39.65,832.0988733488734,24655.187878787878
193,1802,60,2000,11060.0,5.53,0.09,17.7,261.69619011948953,89392.51278216364
194,1803,60,1000,16630.0,16.63,0.28,26.61,146.06110592774525,7503.870388673579
195,1804,240,30,435.9,14.53,0.06,0.7,4.855635694707551,43.889690289071304
196,1820,100,1123,78610.0,70.0,0.7,154.08,8004.035345137742,11054.100354811028
197,1861,100,340,47260.0,139.0,1.39,75.62,351.894450969753,35424.01584732369
198,1888,60,47879,569281.31,11.89,0.2,910.85,6087.34029960444,41670.99940752796
199,1889,60,61021,725539.69,11.89,0.2,1160.86,7758.215343306304,53109.00509297947
200,1905,60,4300,37023.0,8.61,0.14,59.24,389.80229079141316,3520.078063779326
201,1919,60,18030,26143.5,1.45,0.02,41.83,1499.3238148020796,35000.591099800346
202,1926,60,50,663.5,13.27,0.22,1.06,7.303055296387262,375.19351943367894
203,1927,30,250,715.0,2.86,0.1,1.14,11.526997104411516,180.51105007664796
204,1928,30,60,1096.2,18.27,0.61,1.75,1001.7523809523809,387.22
205,1929,200,12,150.48,12.54,0.06,0.24,2.7060307268975006,106.38245815180008
206,1939,100,3000,30.0,0.01,0.0,0.05,204.59325584147842,2255.544407622204
207,1940,100,213,15333.87,71.99,0.72,30.05,1518.1295890599636,2096.6370218831244
208,1941,100,6502,65.02,0.01,0.0,0.1,443.4217831604309,4888.5165794531895
209,1942,100,6875,549931.25,79.99,0.8,879.89,49000.66161871948,67673.14331195531
210,1954,120,434,35674.8,82.2,0.68,69.92,398.77519994996715,2609.8126414447484
211,1955,60,1100,12540.0,11.4,0.19,24.58,139.85409740313884,957.3737828334085
212,1956,30,8400,85596.0,10.19,0.34,167.77,682.8356492828735,21348.300824169735
213,1957,60,3648,26448.0,7.25,0.12,51.84,342.16607129757057,2601.8695708320106
214,1971,25,108,4050.0,37.5,1.5,7.94,37.207744636316065,299.4047566718995
215,1972,20,5958,160866.0,27.0,1.35,257.39,1930.168063482045,31849.944298034367
216,1973,20,3982,107514.0,27.0,1.35,210.73,1290.0183331294904,21286.753641284467
217,2008,1,6998,160954.0,23.0,23.0,257.53,4801.233864845327,62069.24034981406
218,2014,30,300,7080.0,23.6,0.79,11.33,19.90973044922609,801.3806577827999
219,2015,240,40,557.6,13.94,0.06,0.89,6.474180926276735,58.51958705209507
220,2146,1,3470,79810.0,23.0,23.0,156.43,2380.7204216938107,30777.40268846168
221,2147,1,3510,80730.0,23.0,23.0,158.23,2408.1638847680906,31132.185428386307
222,2148,1,5000,12706.65,2.54,2.54,24.91,256.28559522155854,704.6117516321711
223,2153,60,6000,17400.0,2.9,0.05,34.1,572.4607966598502,5690.300298688836
224,2156,30,1300,20410.0,15.7,0.52,40.0,105.67694572234947,3303.9036989786496
225,2157,200,120,733.2,6.11,0.03,1.44,17.52733271132943,900.4644466408296
226,2158,270,6,424.08,70.68,0.26,0.83,3.096274410421113,196.389029456761
227,2159,240,40,540.4,13.51,0.06,1.06,6.474180926276735,58.51958705209507
228,2171,100,5751,460080.0,80.0,0.8,901.76,122739.59078251639,1067139.875749586
229,2173,25,3,225.0,75.0,3.0,0.44,1.962488439549432,49.04737224146288
230,2257,20,100,2700.0,27.0,1.35,5.29,32.39624141460297,534.5744259488816
231,2295,20,68,2176.0,32.0,1.6,4.26,24.76472209801541,1398.2673217782005
232,2297,60,9000,21600.0,2.4,0.04,42.34,540.3059379032094,241370.71770315495
233,2298,60,700,7805.0,11.15,0.19,15.3,88.99806198381562,609.2378618030781
234,2305,30,25000,1260000.0,50.4,1.68,2469.6,2418.7001056667095,49406.91511948127
235,2328,100,1680,117600.0,70.0,0.7,230.5,11973.979857374361,16536.855383866896
236,2399,100,2100,10500.0,5.0,0.05,20.58,200.20284098710667,7561.431433606649
237,2417,100,9000,648000.0,72.0,0.72,1270.08,192080.73674885195,1670015.4550071768
238,2429,90,176,3359.84,19.09,0.21,6.59,23.119933820615753,1489.9412359876524
239,2430,60,5017,24583.3,4.9,0.08,48.18,478.67263614041144,4758.039433086981
240,2431,240,929,3390.85,3.65,0.02,6.65,349.1548844423195,2539.8592247252063
241,2432,60,6700,36582.0,5.46,0.09,71.7,402.22775377238924,179687.08984568203
242,2436,60,1350,19062.0,14.12,0.24,37.36,197.18249300245608,10130.225024709333
243,2437,30,1120,16307.2,14.56,0.49,31.96,91.04475323771646,2846.440109889298
244,2438,60,100,371.0,3.71,0.06,0.73,8.721527965095648,415.82051638147493
245,2439,60,1000,2920.0,2.92,0.05,5.72,83.15717220200108,1941.2418801885935
246,2440,60,260,4035.2,15.52,0.26,7.91,42.08217602079878,380.37731583861796
247,2441,30,60,1100.4,18.34,0.61,2.16,1001.7523809523809,387.22
248,2447,90,5000,160900.0,32.18,0.36,315.36,562.2800372371147,5182.28325814954
249,2450,5,166,2265.9,13.65,2.73,4.44,64.18666666666667,463.4056
250,2451,60,1500,15150.0,10.1,0.17,29.69,338.9702769418463,1558.6111947110292
251,2463,60,7840,71344.0,9.1,0.15,139.83,710.7092929778323,6418.002795355794
252,2474,300,40,1440.0,36.0,0.12,2.82,53.22231304659618,846.0646678908322
253,2475,90,6,43.2,7.2,0.08,0.08,6.0813776904777415,195.61807171006006
254,2476,90,6,43.2,7.2,0.08,0.08,6.0813776904777415,195.61807171006006
255,2477,100,425,38250.0,90.0,0.9,74.97,9070.479235362453,78861.84093089445
256,2478,100,276,24840.0,90.0,0.9,48.69,5890.475926964793,51213.80728688675
257,2481,60,76,300.2,3.95,0.07,0.59,6.628361253472693,316.02359244992095
258,2499,120,73,3000.3,41.1,0.34,5.88,67.07509123582396,438.9777023628263
259,2502,20,5,160.0,32.0,1.6,0.31,1.820935448383486,102.8137736601618
260,2503,20,4995,159840.0,32.0,1.6,313.29,1819.1145129351025,102710.95988650163
261,2506,120,2040,83844.0,41.1,0.34,164.33,1874.4272071380944,12267.322093426927
262,2536,60,26932,317528.28,11.79,0.2,622.36,3424.136864783032,23439.991562972144
263,2539,40,1000,110000.0,110.0,2.75,215.6,1098.2951608347146,19086.187738786266
264,2558,100,800,56000.0,70.0,0.7,109.76,5701.895170178267,7874.693039936617
265,2559,30,150,1950.0,13.0,0.43,3.82,11.561659924580978,718.6453368504674
266,2562,40,140,15400.0,110.0,2.75,30.18,153.76132251686005,2672.0662834300774
267,2571,60,2000,3800.0,1.9,0.03,7.45,136.01061629214757,1951.4246831663736
268,2588,60,120,840.0,7.0,0.12,1.65,26.301756361785117,468.8489040565083
269,2601,30,20,438.0,21.9,0.73,0.86,0.9316365036580672,55.192010011551794
270,2602,60,320,1475.2,4.61,0.08,2.89,27.908889488306073,1330.6256524207197
271,2603,100,2000,144000.0,72.0,0.72,310.46,42684.60816641154,371114.5455571504
272,2632,120,2733,224625.27,82.19,0.68,440.27,2511.1811554453,16434.60356928225
273,2647,40,100,7535.0,75.35,1.88,0.0024500000000000012,109.82951608347147,1908.6187738786268
274,2654,100,45,7875.0,175.0,1.75,0.0024500000000000012,46.57426556952613,4688.472685675195
275,2655,30,1000,17000.0,17.0,0.57,0.0024500000000000012,66.36576816408696,2671.2688592759996
276,2656,60,35000,152250.0,4.35,0.07,0.0024500000000000012,3339.3546471824598,33193.41840901821
277,2657,60,20000,338000.0,16.9,0.28,0.0024500000000000012,1813.0339106577355,16372.456110601515
278,2661,240,416,1809.6,4.35,0.02,0.0024500000000000012,153.41577237539974,731.9521656160915
279,2662,60,486,2041.2,4.2,0.07,0.0024500000000000012,29.17652064677331,13034.018755970368
280,2680,240,906,19071.3,21.05,0.09,0.0024500000000000012,300.24847624623465,3308.166291546817
281,2681,60,38780,432009.2,11.14,0.19,0.0024500000000000012,3515.4727527653495,31746.19239845634
282,2683,60,4632,16906.8,3.65,0.06,0.0024500000000000012,441.9397350214044,4392.911830587781
283,2684,60,166,356.9,2.15,0.04,0.0024500000000000012,14.477736422058776,690.2620571932483
284,2685,30,60784,1018132.0,16.75,0.56,0.0024500000000000012,4941.128822144069,154480.37110670633
285,2686,240,1000,5050.0,5.05,0.02,0.0024500000000000012,375.8394880972223,2733.9711783909647
286,2687,240,1000,2440.0,2.44,0.01,0.0024500000000000012,368.7879143639417,1759.5003981156049
287,2705,100,25,10000.0,400.0,4.0,0.0024500000000000012,61.327308044827745,2511.5172149174036
288,2708,60,25000,187500.0,7.5,0.12,300.0,2344.8880982563774,17830.794756250074
289,2721,60,5408,68952.0,12.75,0.21,0.0024500000000000012,1118.4,46733.648
290,2733,100,50,20000.0,400.0,4.0,0.0024500000000000012,122.65461608965549,5023.034429834807
291,2740,20,10000,270000.0,27.0,1.35,432.0,3239.6241414602973,53457.44259488817
292,2741,20,11500,310500.0,27.0,1.35,496.8,3725.5677626793417,61476.05898412139
293,2756,20,8000,216000.0,27.0,1.35,345.6,2591.699313168238,42765.95407591054
294,2765,30,22500,277425.0,12.33,0.41,443.88,1829.0240605791255,57182.948636168934
295,2766,240,500,950.0,1.9,0.01,1.52,184.39395718197085,879.7501990578024
296,2767,60,800,5600.0,7.0,0.12,8.96,175.34504241190078,3125.659360376722
297,2785,300,200,16440.0,82.2,0.27,26.3,266.1115652329809,4230.323339454161
298,2794,25,10000,200000.0,20.0,0.8,320.0,9152.785274666123,99795.2675306278
299,2795,25,5000,100000.0,20.0,0.8,160.0,4576.392637333061,49897.6337653139
300,2796,25,150,11250.0,75.0,3.0,18.0,98.1244219774716,2452.368612073144
301,2808,60,35065,54350.75,1.55,0.03,86.96,2915.906243263168,68069.64652881304
302,2823,20,2220,71040.0,32.0,1.6,113.66,808.4953390822678,45649.31550511184
303,2892,30,140,3313.8,23.67,0.79,5.3,6.52145552560647,386.34407008086254
304,2921,240,500,3630.0,7.26,0.03,5.81,65.42404752987238,22348.12819554091
305,2922,30,20,535.2,26.76,0.89,0.86,1.3273153632817392,53.42537718551999
306,2923,30,10,443.0,44.3,1.48,0.71,1.0819973679981327,61.45515509979602
307,2927,20,4500,144000.0,32.0,1.6,230.4,1638.8419035451375,92532.39629414561
308,2947,60,400,600.0,1.5,0.02,0.96,36.70222250754775,7818.788937942589
309,2960,100,2,278.0,139.0,1.39,0.44,2.0699673586456058,208.3765638077864
310,2965,100,4,556.0,139.0,1.39,0.89,4.1399347172912115,416.7531276155728
311,2993,30,200,696.0,3.48,0.12,1.11,9.221597683529211,144.40884006131833
312,2994,30,1200,23808.0,19.84,0.66,38.09,110.87806397562211,3862.147136721355
313,2995,30,30,1271.1,42.37,1.41,2.03,3.245992103994398,184.36546529938806
314,2996,84,3,32.31,10.77,0.13,0.05,0.873875372908878,7.003522500409098
315,3007,60,546,3822.0,7.0,0.12,6.12,119.67299144612228,2133.2625134571126
316,3008,20,9048,244296.0,27.0,1.35,390.87,2931.211923193277,48368.294059854816
317,3009,100,3000,239970.0,79.99,0.8,383.95,21382.106888168502,29530.098899762317
318,3010,100,3199,255888.01,79.99,0.8,409.42,22800.453311750345,31488.92879344655
319,3026,30,400,8416.0,21.04,0.7,13.47,6678.349206349206,2581.4666666666667
320,3037,100,805,62967.1,78.22,0.78,100.75,17180.554786980647,149373.60458675303
