,del_date_scheduled,del_date_client,del_date_recorded,pq_date,po_date,po_date_new,pq_date_new,anticipated_lead_time,actual_lead_time,delivery_delay_time
14,2007-01-18 00:00:00.000000000,2007-01-18 00:00:00.000000000,2007-01-18 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-12-24 12:00:00.000000000,2006-07-05 06:09:22.377600000,24 days 12:00:00.000000000,24 days 12:00:00.000000000,0 days 00:00:00.000000000
15,2007-03-19 00:00:00.000000000,2007-03-19 00:00:00.000000000,2007-03-19 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-01-10 00:00:00.000000000,2007-01-10 00:00:00.000000000,2006-07-21 18:09:22.377600000,68 days 00:00:00.000000000,68 days 00:00:00.000000000,0 days 00:00:00.000000000
16,2007-05-07 00:00:00.000000000,2007-05-07 00:00:00.000000000,2007-05-07 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2007-03-29 14:24:00.000000000,2006-10-08 08:33:22.377600000,38 days 09:36:00.000000000,38 days 09:36:00.000000000,0 days 00:00:00.000000000
17,2007-03-29 00:00:00.000000000,2007-03-29 00:00:00.000000000,2007-03-29 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2007-02-13 02:39:59.990400000,2006-08-24 20:49:22.368000000,43 days 21:20:00.009600000,43 days 21:20:00.009600000,0 days 00:00:00.000000000
18,2007-06-06 00:00:00.000000000,2007-06-06 00:00:00.000000000,2007-06-06 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-04-12 00:00:00.000000000,2007-04-12 00:00:00.000000000,2006-10-21 18:09:22.377600000,55 days 00:00:00.000000000,55 days 00:00:00.000000000,0 days 00:00:00.000000000
19,2007-06-19 00:00:00.000000000,2007-06-19 00:00:00.000000000,2007-06-19 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-05-13 00:00:00.000000000,2007-05-13 00:00:00.000000000,2006-11-21 18:09:22.377600000,37 days 00:00:00.000000000,37 days 00:00:00.000000000,0 days 00:00:00.000000000
20,2007-06-19 00:00:00.000000000,2007-06-19 00:00:00.000000000,2007-06-19 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-05-17 00:00:00.000000000,2007-05-17 00:00:00.000000000,2006-11-25 18:09:22.377600000,33 days 00:00:00.000000000,33 days 00:00:00.000000000,0 days 00:00:00.000000000
21,2007-10-02 00:00:00.000000000,2007-10-02 00:00:00.000000000,2007-10-02 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-07-13 00:00:00.000000000,2007-07-13 00:00:00.000000000,2007-01-21 18:09:22.377600000,81 days 00:00:00.000000000,81 days 00:00:00.000000000,0 days 00:00:00.000000000
22,2007-10-15 00:00:00.000000000,2007-10-15 00:00:00.000000000,2007-10-15 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-07-04 00:00:00.000000000,2007-07-04 00:00:00.000000000,2007-01-12 18:09:22.377600000,103 days 00:00:00.000000000,103 days 00:00:00.000000000,0 days 00:00:00.000000000
23,2007-08-27 00:00:00.000000000,2007-08-27 00:00:00.000000000,2007-08-27 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-07-04 00:00:00.000000000,2007-07-04 00:00:00.000000000,2007-01-12 18:09:22.377600000,54 days 00:00:00.000000000,54 days 00:00:00.000000000,0 days 00:00:00.000000000
24,2007-08-13 00:00:00.000000000,2007-08-21 00:00:00.000000000,2007-08-21 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-07-26 00:00:00.000000000,2007-07-26 00:00:00.000000000,2007-02-03 18:09:22.377600000,18 days 00:00:00.000000000,26 days 00:00:00.000000000,8 days 00:00:00.000000000
25,2007-08-25 00:00:00.000000000,2007-08-25 00:00:00.000000000,2007-08-25 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-07-26 00:00:00.000000000,2007-07-26 00:00:00.000000000,2007-02-03 18:09:22.377600000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,0 days 00:00:00.000000000
26,2007-10-16 00:00:00.000000000,2007-10-16 00:00:00.000000000,2007-10-16 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2007-08-21 00:00:00.000000000,2007-03-01 18:09:22.377600000,56 days 00:00:00.000000000,56 days 00:00:00.000000000,0 days 00:00:00.000000000
27,2007-11-22 00:00:00.000000000,2007-11-22 00:00:00.000000000,2007-11-22 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2007-09-27 00:00:00.000000000,2007-04-07 18:09:22.377600000,56 days 00:00:00.000000000,56 days 00:00:00.000000000,0 days 00:00:00.000000000
28,2007-11-22 00:00:00.000000000,2007-11-22 00:00:00.000000000,2007-11-22 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2007-09-27 00:00:00.000000000,2007-04-07 18:09:22.377600000,56 days 00:00:00.000000000,56 days 00:00:00.000000000,0 days 00:00:00.000000000
29,2007-11-20 00:00:00.000000000,2007-11-20 00:00:00.000000000,2007-11-20 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-10-03 00:00:00.000000000,2007-10-03 00:00:00.000000000,2007-04-13 18:09:22.377600000,48 days 00:00:00.000000000,48 days 00:00:00.000000000,0 days 00:00:00.000000000
30,2007-10-03 00:00:00.000000000,2007-10-03 00:00:00.000000000,2007-10-03 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-08-28 00:00:00.000000000,2007-08-28 00:00:00.000000000,2007-03-08 18:09:22.377600000,36 days 00:00:00.000000000,36 days 00:00:00.000000000,0 days 00:00:00.000000000
31,2008-01-29 00:00:00.000000000,2008-01-29 00:00:00.000000000,2008-01-29 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-11-12 00:00:00.000000000,2007-11-12 00:00:00.000000000,2007-05-23 18:09:22.377600000,78 days 00:00:00.000000000,78 days 00:00:00.000000000,0 days 00:00:00.000000000
32,2008-01-21 00:00:00.000000000,2008-01-21 00:00:00.000000000,2008-01-21 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-11-19 00:00:00.000000000,2007-11-19 00:00:00.000000000,2007-05-30 18:09:22.377600000,63 days 00:00:00.000000000,63 days 00:00:00.000000000,0 days 00:00:00.000000000
33,2008-01-21 00:00:00.000000000,2008-01-21 00:00:00.000000000,2008-01-21 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-11-21 00:00:00.000000000,2007-11-21 00:00:00.000000000,2007-06-01 18:09:22.377600000,61 days 00:00:00.000000000,61 days 00:00:00.000000000,0 days 00:00:00.000000000
34,2008-01-31 00:00:00.000000000,2008-01-31 00:00:00.000000000,2008-01-31 00:00:00.000000000,1980-01-01 00:00:00.000000000,2007-12-10 00:00:00.000000000,2007-12-10 00:00:00.000000000,2007-06-20 18:09:22.377600000,52 days 00:00:00.000000000,52 days 00:00:00.000000000,0 days 00:00:00.000000000
35,2008-02-05 00:00:00.000000000,2008-02-05 00:00:00.000000000,2008-02-05 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2007-11-13 19:02:04.099200000,2007-05-25 13:11:26.476800000,83 days 04:57:55.900800000,83 days 04:57:55.900800000,0 days 00:00:00.000000000
36,2008-01-21 00:00:00.000000000,2008-01-04 00:00:00.000000000,2008-01-04 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-01-04 00:00:00.000000000,2008-01-04 00:00:00.000000000,2007-07-15 18:09:22.377600000,17 days 00:00:00.000000000,0 days 00:00:00.000000000,-17 days +00:00:00.000000000
37,2008-02-18 00:00:00.000000000,2008-02-18 00:00:00.000000000,2008-02-18 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2007-11-19 17:41:03.148800000,2007-05-31 11:50:25.526400000,90 days 06:18:56.851200000,90 days 06:18:56.851200000,0 days 00:00:00.000000000
38,2008-06-17 00:00:00.000000000,2008-06-17 00:00:00.000000000,2008-06-17 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-02-27 00:00:00.000000000,2008-02-27 00:00:00.000000000,2007-09-07 18:09:22.377600000,111 days 00:00:00.000000000,111 days 00:00:00.000000000,0 days 00:00:00.000000000
39,2009-03-19 00:00:00.000000000,2009-03-19 00:00:00.000000000,2009-03-19 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-03-03 00:00:00.000000000,2008-03-03 00:00:00.000000000,2007-09-12 18:09:22.377600000,381 days 00:00:00.000000000,381 days 00:00:00.000000000,0 days 00:00:00.000000000
40,2008-04-09 00:00:00.000000000,2008-04-01 00:00:00.000000000,2008-04-01 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-02-28 00:00:00.000000000,2008-02-28 00:00:00.000000000,2007-09-08 18:09:22.377600000,41 days 00:00:00.000000000,33 days 00:00:00.000000000,-8 days +00:00:00.000000000
41,2008-07-28 00:00:00.000000000,2008-07-28 00:00:00.000000000,2008-07-28 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-02-28 00:00:00.000000000,2008-02-28 00:00:00.000000000,2007-09-08 18:09:22.377600000,151 days 00:00:00.000000000,151 days 00:00:00.000000000,0 days 00:00:00.000000000
42,2008-03-11 00:00:00.000000000,2008-03-11 00:00:00.000000000,2008-03-11 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-02-29 00:00:00.000000000,2008-02-29 00:00:00.000000000,2007-09-09 18:09:22.377600000,11 days 00:00:00.000000000,11 days 00:00:00.000000000,0 days 00:00:00.000000000
43,2008-11-17 00:00:00.000000000,2008-11-17 00:00:00.000000000,2008-11-17 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-03-17 00:00:00.000000000,2008-03-17 00:00:00.000000000,2007-09-26 18:09:22.377600000,245 days 00:00:00.000000000,245 days 00:00:00.000000000,0 days 00:00:00.000000000
44,2008-04-17 00:00:00.000000000,2008-04-17 00:00:00.000000000,2008-04-17 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-03-13 00:00:00.000000000,2008-03-13 00:00:00.000000000,2007-09-22 18:09:22.377600000,35 days 00:00:00.000000000,35 days 00:00:00.000000000,0 days 00:00:00.000000000
45,2008-06-04 00:00:00.000000000,2008-06-04 00:00:00.000000000,2008-06-04 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-03-18 00:00:00.000000000,2008-03-18 00:00:00.000000000,2007-09-27 18:09:22.377600000,78 days 00:00:00.000000000,78 days 00:00:00.000000000,0 days 00:00:00.000000000
46,2008-06-03 00:00:00.000000000,2008-06-03 00:00:00.000000000,2008-06-03 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-03-31 00:00:00.000000000,2008-03-31 00:00:00.000000000,2007-10-10 18:09:22.377600000,64 days 00:00:00.000000000,64 days 00:00:00.000000000,0 days 00:00:00.000000000
47,2008-04-24 00:00:00.000000000,2008-04-24 00:00:00.000000000,2008-04-24 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-02-20 00:00:00.000000000,2008-02-20 00:00:00.000000000,2007-08-31 18:09:22.377600000,64 days 00:00:00.000000000,64 days 00:00:00.000000000,0 days 00:00:00.000000000
48,2008-04-24 00:00:00.000000000,2008-04-24 00:00:00.000000000,2008-04-24 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-02-20 00:00:00.000000000,2008-02-20 00:00:00.000000000,2007-08-31 18:09:22.377600000,64 days 00:00:00.000000000,64 days 00:00:00.000000000,0 days 00:00:00.000000000
49,2008-07-12 00:00:00.000000000,2008-07-12 00:00:00.000000000,2008-07-12 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-03-31 00:00:00.000000000,2008-03-31 00:00:00.000000000,2007-10-10 18:09:22.377600000,103 days 00:00:00.000000000,103 days 00:00:00.000000000,0 days 00:00:00.000000000
50,2008-04-25 00:00:00.000000000,2008-04-07 00:00:00.000000000,2008-04-07 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-04-04 00:00:00.000000000,2008-04-04 00:00:00.000000000,2007-10-14 18:09:22.377600000,21 days 00:00:00.000000000,3 days 00:00:00.000000000,-18 days +00:00:00.000000000
51,2008-07-09 00:00:00.000000000,2008-07-09 00:00:00.000000000,2008-07-09 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2008-04-16 19:02:04.099200000,2007-10-27 13:11:26.476800000,83 days 04:57:55.900800000,83 days 04:57:55.900800000,0 days 00:00:00.000000000
52,2008-07-09 00:00:00.000000000,2008-07-04 00:00:00.000000000,2008-07-04 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2008-04-16 19:02:04.099200000,2007-10-27 13:11:26.476800000,83 days 04:57:55.900800000,78 days 04:57:55.900800000,-5 days +00:00:00.000000000
53,2008-05-09 00:00:00.000000000,2008-05-09 00:00:00.000000000,2008-05-09 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2008-03-14 16:21:49.075200000,2007-09-24 10:31:11.452800000,55 days 07:38:10.924800000,55 days 07:38:10.924800000,0 days 00:00:00.000000000
54,2008-09-19 00:00:00.000000000,2008-09-19 00:00:00.000000000,2008-09-19 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-05-14 00:00:00.000000000,2008-05-14 00:00:00.000000000,2007-11-23 18:09:22.377600000,128 days 00:00:00.000000000,128 days 00:00:00.000000000,0 days 00:00:00.000000000
55,2008-08-20 00:00:00.000000000,2008-08-20 00:00:00.000000000,2008-08-20 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2008-07-04 16:00:00.028800000,2008-01-14 10:09:22.406400000,46 days 07:59:59.971200000,46 days 07:59:59.971200000,0 days 00:00:00.000000000
56,2008-08-20 00:00:00.000000000,2008-05-08 00:00:00.000000000,2008-05-08 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2008-07-04 16:00:00.028800000,2008-01-14 10:09:22.406400000,46 days 07:59:59.971200000,-58 days +07:59:59.971200000,-104 days +00:00:00.000000000
57,2008-08-20 00:00:00.000000000,2008-05-08 00:00:00.000000000,2008-05-08 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2008-07-04 16:00:00.028800000,2008-01-14 10:09:22.406400000,46 days 07:59:59.971200000,-58 days +07:59:59.971200000,-104 days +00:00:00.000000000
58,2008-09-02 00:00:00.000000000,2008-09-02 00:00:00.000000000,2008-09-02 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-05-15 00:00:00.000000000,2008-05-15 00:00:00.000000000,2007-11-24 18:09:22.377600000,110 days 00:00:00.000000000,110 days 00:00:00.000000000,0 days 00:00:00.000000000
59,2008-09-30 00:00:00.000000000,2008-09-30 00:00:00.000000000,2008-09-30 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-05-20 00:00:00.000000000,2008-05-20 00:00:00.000000000,2007-11-29 18:09:22.377600000,133 days 00:00:00.000000000,133 days 00:00:00.000000000,0 days 00:00:00.000000000
60,2008-11-24 00:00:00.000000000,2008-11-24 00:00:00.000000000,2008-11-24 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-05-23 00:00:00.000000000,2008-05-23 00:00:00.000000000,2007-12-02 18:09:22.377600000,185 days 00:00:00.000000000,185 days 00:00:00.000000000,0 days 00:00:00.000000000
61,2008-06-12 00:00:00.000000000,2008-06-09 00:00:00.000000000,2008-06-09 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2008-04-26 16:00:00.028800000,2007-11-06 10:09:22.406400000,46 days 07:59:59.971200000,43 days 07:59:59.971200000,-3 days +00:00:00.000000000
62,2008-09-19 00:00:00.000000000,2008-09-19 00:00:00.000000000,2008-09-19 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-07-01 00:00:00.000000000,2008-07-01 00:00:00.000000000,2008-01-10 18:09:22.377600000,80 days 00:00:00.000000000,80 days 00:00:00.000000000,0 days 00:00:00.000000000
63,2009-02-25 00:00:00.000000000,2008-09-09 00:00:00.000000000,2008-09-09 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-07-02 00:00:00.000000000,2008-07-02 00:00:00.000000000,2008-01-11 18:09:22.377600000,238 days 00:00:00.000000000,69 days 00:00:00.000000000,-169 days +00:00:00.000000000
64,2008-10-08 00:00:00.000000000,2008-10-08 00:00:00.000000000,2008-10-08 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-07-03 00:00:00.000000000,2008-07-03 00:00:00.000000000,2008-01-12 18:09:22.377600000,97 days 00:00:00.000000000,97 days 00:00:00.000000000,0 days 00:00:00.000000000
65,2008-07-10 00:00:00.000000000,2008-07-08 00:00:00.000000000,2008-07-08 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2008-05-24 16:00:00.028800000,2007-12-04 10:09:22.406400000,46 days 07:59:59.971200000,44 days 07:59:59.971200000,-2 days +00:00:00.000000000
66,2008-11-27 00:00:00.000000000,2008-11-27 00:00:00.000000000,2008-11-27 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-07-24 00:00:00.000000000,2008-07-24 00:00:00.000000000,2008-02-02 18:09:22.377600000,126 days 00:00:00.000000000,126 days 00:00:00.000000000,0 days 00:00:00.000000000
67,2008-08-15 00:00:00.000000000,2008-08-15 00:00:00.000000000,2008-08-15 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-07-25 00:00:00.000000000,2008-07-25 00:00:00.000000000,2008-02-03 18:09:22.377600000,21 days 00:00:00.000000000,21 days 00:00:00.000000000,0 days 00:00:00.000000000
68,2008-10-20 00:00:00.000000000,2008-10-20 00:00:00.000000000,2008-10-20 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-07-31 00:00:00.000000000,2008-07-31 00:00:00.000000000,2008-02-09 18:09:22.377600000,81 days 00:00:00.000000000,81 days 00:00:00.000000000,0 days 00:00:00.000000000
69,2008-09-18 00:00:00.000000000,2008-09-18 00:00:00.000000000,2008-09-18 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-08-26 00:00:00.000000000,2008-08-26 00:00:00.000000000,2008-03-06 18:09:22.377600000,23 days 00:00:00.000000000,23 days 00:00:00.000000000,0 days 00:00:00.000000000
70,2008-10-02 00:00:00.000000000,2008-10-02 00:00:00.000000000,2008-10-02 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-08-27 00:00:00.000000000,2008-08-27 00:00:00.000000000,2008-03-07 18:09:22.377600000,36 days 00:00:00.000000000,36 days 00:00:00.000000000,0 days 00:00:00.000000000
71,2009-01-23 00:00:00.000000000,2009-01-23 00:00:00.000000000,2009-01-23 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-09-03 00:00:00.000000000,2008-09-03 00:00:00.000000000,2008-03-14 18:09:22.377600000,142 days 00:00:00.000000000,142 days 00:00:00.000000000,0 days 00:00:00.000000000
72,2009-03-10 00:00:00.000000000,2009-04-08 00:00:00.000000000,2009-04-08 00:00:00.000000000,1980-01-01 00:00:00.000000000,2009-03-06 00:00:00.000000000,2009-03-06 00:00:00.000000000,2008-09-14 18:09:22.377600000,4 days 00:00:00.000000000,33 days 00:00:00.000000000,29 days 00:00:00.000000000
73,2008-10-29 00:00:00.000000000,2008-10-29 00:00:00.000000000,2008-10-29 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-09-24 00:00:00.000000000,2008-09-24 00:00:00.000000000,2008-04-04 18:09:22.377600000,35 days 00:00:00.000000000,35 days 00:00:00.000000000,0 days 00:00:00.000000000
74,2008-11-28 00:00:00.000000000,2008-11-28 00:00:00.000000000,2008-11-28 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-10-02 00:00:00.000000000,2008-10-02 00:00:00.000000000,2008-04-12 18:09:22.377600000,57 days 00:00:00.000000000,57 days 00:00:00.000000000,0 days 00:00:00.000000000
75,2009-01-23 00:00:00.000000000,2009-01-23 00:00:00.000000000,2009-01-23 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-10-02 00:00:00.000000000,2008-10-02 00:00:00.000000000,2008-04-12 18:09:22.377600000,113 days 00:00:00.000000000,113 days 00:00:00.000000000,0 days 00:00:00.000000000
76,2009-05-17 00:00:00.000000000,2008-10-09 00:00:00.000000000,2008-10-09 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2009-03-21 22:33:54.748800000,2008-09-30 16:43:17.126400000,56 days 01:26:05.251200000,-164 days +01:26:05.251200000,-220 days +00:00:00.000000000
77,2009-05-17 00:00:00.000000000,2009-05-17 00:00:00.000000000,2009-05-17 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2009-03-21 22:33:54.748800000,2008-09-30 16:43:17.126400000,56 days 01:26:05.251200000,56 days 01:26:05.251200000,0 days 00:00:00.000000000
78,2009-05-17 00:00:00.000000000,2008-10-09 00:00:00.000000000,2008-10-09 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2009-03-21 22:33:54.748800000,2008-09-30 16:43:17.126400000,56 days 01:26:05.251200000,-164 days +01:26:05.251200000,-220 days +00:00:00.000000000
79,2009-05-17 00:00:00.000000000,2008-10-09 00:00:00.000000000,2008-10-09 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2009-03-21 22:33:54.748800000,2008-09-30 16:43:17.126400000,56 days 01:26:05.251200000,-164 days +01:26:05.251200000,-220 days +00:00:00.000000000
80,2009-05-17 00:00:00.000000000,2008-10-09 00:00:00.000000000,2008-10-09 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2009-03-21 22:33:54.748800000,2008-09-30 16:43:17.126400000,56 days 01:26:05.251200000,-164 days +01:26:05.251200000,-220 days +00:00:00.000000000
81,2009-02-06 00:00:00.000000000,2009-02-06 00:00:00.000000000,2009-02-06 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-11-19 00:00:00.000000000,2008-11-19 00:00:00.000000000,2008-05-30 18:09:22.377600000,79 days 00:00:00.000000000,79 days 00:00:00.000000000,0 days 00:00:00.000000000
82,2009-04-21 00:00:00.000000000,2009-04-21 00:00:00.000000000,2009-04-21 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-12-19 00:00:00.000000000,2008-12-19 00:00:00.000000000,2008-06-29 18:09:22.377600000,123 days 00:00:00.000000000,123 days 00:00:00.000000000,0 days 00:00:00.000000000
83,2009-03-02 00:00:00.000000000,2009-03-02 00:00:00.000000000,2009-03-02 00:00:00.000000000,1980-01-01 00:00:00.000000000,2008-12-19 00:00:00.000000000,2008-12-19 00:00:00.000000000,2008-06-29 18:09:22.377600000,73 days 00:00:00.000000000,73 days 00:00:00.000000000,0 days 00:00:00.000000000
